id,pedido_id,item_numero,descripcion,cantidad,peso_total,espesor,material,unidad_cobro,precio_unitario,total_linea,origen_precio,detalles
1647,262,6,Ducto Recto,1.0,1.3222399999999999,0.5,Galvanizado,kg,160.0,211.55839999999998,Lista: Ducto Recto (Galv),
1648,262,7,Transformación,2.0,4.585920000000001,0.5,Galvanizado,kg,160.0,733.7472000000001,Lista: Transformación (Galv),
1649,262,8,Unión c/ Lona,1.0,,0.5,Galvanizado,un,2340.0,2340.0,Lista: Unión c/ Lona (Pieza Esp.),
1650,263,1,Unión c/ Lona,1.0,0.9199999999999999,0.5,Galvanizado,un,2340.0,2340.0,Lista: Unión c/ Lona (Pieza Esp.),Dim: A:25cm B:25cm H:20cm | Unión: TDF / TDF
1651,264,1,S,1.0,5.795999999999999,0.5,Galvanizado,kg,160.0,927.3599999999999,Lista: S (Galv),Dim: A:30cm B:40cm d:12cm H:90cm | Unión: TDF / TDF
1652,265,1,Unión c/ Lona,1.0,,0.5,Galvanizado,un,2340.0,2340.0,Lista: Unión c/ Lona (Pieza Esp.),
1653,265,2,Transformación,1.0,4.204,0.5,Galvanizado,kg,160.0,672.64,Lista: Transformación (Galv),
1654,265,3,Unión c/ Lona,1.0,,0.5,Galvanizado,un,2340.0,2340.0,Lista: Unión c/ Lona (Pieza Esp.),
1655,265,4,Transformación,1.0,3.4473600000000006,0.5,Galvanizado,kg,160.0,551.5776000000001,Lista: Transformación (Galv),
1656,265,5,S,1.0,4.2286399999999995,0.5,Galvanizado,kg,160.0,676.5823999999999,Lista: S (Galv),
1657,265,6,Unión c/ Lona,1.0,,0.5,Galvanizado,un,2340.0,2340.0,Lista: Unión c/ Lona (Pieza Esp.),
1658,265,7,Transformación,1.0,6.40256,0.5,Galvanizado,kg,160.0,1024.4096,Lista: Transformación (Galv),
1659,265,8,Ducto Recto,1.0,7.4786399999999995,0.5,Galvanizado,kg,160.0,1196.5824,Lista: Ducto Recto (Galv),
1660,265,9,Unión c/ Lona,1.0,,0.5,Galvanizado,un,2340.0,2340.0,Lista: Unión c/ Lona (Pieza Esp.),
1661,265,10,Transf. Red - Cuad,1.0,1.8464841600000002,0.5,Galvanizado,un,3524.0,3524.0,Lista: Transf. Red - Cuad (Pieza Esp.),
1662,265,11,Zapato s/ Templador,1.0,,0.5,Galvanizado,un,1320.0,1320.0,Lista: Zapato s/ Templador (Pieza Esp.),
1663,265,12,Ducto c/ Templador,1.0,2.63664,0.5,Galvanizado,un,840.0,840.0,Lista: Ducto c/ Templador (Pieza Esp.),
1664,266,1,Ducto Cilindrico,2.0,0.0,,Galvanizado,kg,216.0,0.0,Lista: Ducto Cilindrico (Galv),
1665,266,2,Medio Codo,2.0,0.17748741855720893,0.5,Galvanizado,kg,160.0,28.39798696915343,Lista: Medio Codo (Galv),
1666,267,1,Medio Codo,1.0,2.1934752581127315,0.5,Galvanizado,kg,160.0,350.956041298037,Lista: Medio Codo (Galv),
1667,267,2,Ducto Recto,1.0,2.14864,0.5,Galvanizado,kg,160.0,343.7824,Lista: Ducto Recto (Galv),
1668,267,3,Ducto Recto,1.0,3.18164,0.5,Galvanizado,kg,160.0,509.06239999999997,Lista: Ducto Recto (Galv),
1669,267,4,Medio Codo,3.0,6.580425774338194,0.5,Galvanizado,kg,160.0,1052.868123894111,Lista: Medio Codo (Galv),
1670,267,5,Ducto Recto,1.0,2.5618399999999997,0.5,Galvanizado,kg,160.0,409.89439999999996,Lista: Ducto Recto (Galv),
1671,267,6,Pleno,1.0,0.0,,Galvanizado,un,12000.0,12000.0,Lista: Pleno (Pieza Esp.),
1672,268,1,Unión c/ Lona,1.0,1.6928,0.5,Galvanizado,un,2340.0,2340.0,Lista: Unión c/ Lona (Pieza Esp.),Dim: A:46cm B:46cm H:20cm | Unión: TDF / Pestaña 30
1673,269,1,Unión c/ Lona,1.0,1.7111999999999998,0.5,Galvanizado,un,2340.0,2340.0,Lista: Unión c/ Lona (Pieza Esp.),Dim: A:60cm B:33cm H:20cm | Unión: TDF / Pestaña 30
1674,270,1,Caja Difusora Esp.,5.0,19.110596092109542,0.5,Galvanizado,un,960.0,4800.0,Lista: Caja Difusora Esp. (Pieza Esp.),
1675,270,2,Caja Difusora Esp.,1.0,1.8901192184219082,0.5,Galvanizado,un,960.0,960.0,Lista: Caja Difusora Esp. (Pieza Esp.),
